,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2022-01-06 18:55:04,2022-01-06 18:55:03,190,12.0,801.0,233,95,5.0,20.0,6147,2022-01-06 18:55:19,2022.01.06,36,A ranked list of awesome machine learning Python libraries. Updated weekly.,20,19,True,1,3.0,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2022-01-06 18:52:16,2022-01-06 18:52:14,102,17.0,140.0,68,61,,4.0,1899,2022-01-06 18:52:22,2022.01.06,30,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,6,16,True,1,1.0,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2022-01-06 18:53:37,2022-01-06 18:53:36,98,16.0,93.0,49,65,4.0,2.0,1401,2022-01-06 18:53:44,2022.01.06,29,A ranked list of awesome python libraries for web development. Updated weekly.,7,15,True,1,,
3,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2022-01-06 18:52:31,2022-01-06 18:52:30,95,19.0,40.0,16,66,6.0,2.0,372,2022-01-06 18:52:38,2022.01.06,34,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",8,13,True,2,-1.0,
4,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2022-01-06 18:52:58,2022-01-06 18:52:58,83,15.0,18.0,16,59,1.0,5.0,383,2022-01-06 18:53:07,2022.01.06,26,A ranked list of awesome python developer tools and libraries. Updated weekly.,2,12,True,1,,
5,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2022-01-04 15:29:32,2021-05-03 18:03:14,111,,38.0,12,48,14.0,4.0,337,2021-05-03 17:59:01,2021.05.03-17.47,8,A ranked gallery of awesome streamlit apps built by the community.,4,12,True,3,,
6,best-of-ml-rust,e-tony/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2022-01-03 12:35:48,2021-12-13 12:42:57,127,12.0,1.0,8,50,,,77,2021-10-04 12:57:04,2021.10.04,23,A ranked list of awesome machine learning Rust libraries.,2,10,True,3,1.0,e-tornike/best-of-ml-rust
7,best-of-react,LukasMasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2022-01-06 18:53:17,2022-01-06 18:53:16,91,19.0,1.0,3,47,1.0,,30,2022-01-06 18:53:24,2022.01.06,24,A ranked list of awesome React open-source libraries and tools. Updated weekly.,1,10,True,3,,
8,best-of-ml-julia,e-tony/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,,2,38,,,4,2021-05-10 14:35:56,2021.05.10,3,A ranked list of awesome machine learning Julia libraries.,2,6,True,3,-1.0,e-tornike/best-of-ml-julia
