,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2021-04-15 15:29:12,2021-04-08 18:44:00,578.0,3.0,12.0,4676.0,2021-04-08 18:44:15,2021.04.08,20.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,18.0,14,True,1
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2021-04-15 17:29:06,2021-04-15 17:29:04,112.0,,3.0,1559.0,2021-04-15 17:29:23,2021.04.15,13.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,5.0,13,True,1
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2021-04-15 17:30:29,2021-04-15 17:30:29,74.0,,2.0,1160.0,2021-04-08 16:14:36,2021.04.08,13.0,A ranked list of awesome python libraries for web development. Updated weekly.,6.0,13,True,1
3,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2021-04-15 17:29:39,2021-04-15 17:29:39,27.0,,2.0,237.0,2021-04-15 17:29:52,2021.04.15,17.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",6.0,12,True,2
4,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2021-04-15 17:30:10,2021-04-15 17:30:10,13.0,,5.0,262.0,2021-04-08 15:00:37,2021.04.08,11.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,1.0,10,True,1
5,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2021-04-12 12:05:35,2021-02-23 01:28:44,13.0,1.0,3.0,145.0,2021-02-23 01:04:31,2021.02.22,7.0,A ranked gallery of awesome streamlit apps built by the community.,3.0,10,True,3
6,best-of-react,LukasMasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2021-04-15 18:17:01,2021-04-08 18:20:02,,,,2.0,2021-04-08 18:20:17,2021.04.08,6.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,,7,True,3
7,best-of-ml-rust,e-tony/best-of-ml-rust,,data-engineering,https://github.com/e-tony/best-of-ml-rust,https://github.com/e-tony/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2021-04-12 12:39:23,2021-04-12 12:39:23,1.0,,,49.0,,,,A ranked list of awesome machine learning Rust libraries. Updated weekly.,1.0,6,True,3
8,best-of-ml-julia,e-tony/best-of-ml-julia,,data-engineering,https://github.com/e-tony/best-of-ml-julia,https://github.com/e-tony/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-04-12 12:37:48,2021-04-12 12:37:48,,,,,,,,A ranked list of awesome machine learning Julia libraries. Updated weekly.,,5,True,3
