,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2021-07-29 15:40:57,2021-07-16 21:43:01,708.0,5.0,18.0,5513,2021-07-16 21:43:16,2021.07.15,29,A ranked list of awesome machine learning Python libraries. Updated weekly.,19.0,15,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2021-07-29 15:05:19,2021-07-16 21:43:31,134.0,1.0,4.0,1707,2021-07-16 21:43:43,2021.07.15,22,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,5.0,14,True,1,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2021-07-29 15:28:19,2021-07-16 21:43:54,86.0,1.0,2.0,1290,2021-07-16 21:44:03,2021.07.15,21,A ranked list of awesome python libraries for web development. Updated weekly.,6.0,14,True,1,
3,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2021-07-29 14:39:14,2021-07-16 21:44:49,35.0,,2.0,302,2021-07-16 21:44:58,2021.07.15,25,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",7.0,13,True,2,
4,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2021-07-26 12:13:03,2021-05-03 18:03:14,23.0,14.0,4.0,233,2021-05-03 17:59:01,2021.05.03-17.47,8,A ranked gallery of awesome streamlit apps built by the community.,4.0,13,True,2,1.0
5,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2021-07-29 14:54:18,2021-07-16 21:44:30,17.0,1.0,5.0,315,2021-07-16 21:44:38,2021.07.15,18,A ranked list of awesome python developer tools and libraries. Updated weekly.,2.0,11,True,1,
6,best-of-ml-rust,e-tony/best-of-ml-rust,,data-engineering,https://github.com/e-tony/best-of-ml-rust,https://github.com/e-tony/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2021-07-26 12:32:51,2021-07-19 20:08:23,1.0,,,63,2021-06-21 15:00:18,2021.06.21,19,A ranked list of awesome machine learning Rust libraries.,1.0,8,True,3,
7,best-of-react,LukasMasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2021-07-29 18:21:15,2021-07-16 21:45:35,,,,8,2021-07-16 21:45:48,2021.07.15,14,A ranked list of awesome React open-source libraries and tools. Updated weekly.,,8,True,3,
8,best-of-ml-julia,e-tony/best-of-ml-julia,,data-engineering,https://github.com/e-tony/best-of-ml-julia,https://github.com/e-tony/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-07-26 12:26:01,2021-07-12 15:04:48,,,,3,2021-05-10 14:35:56,2021.05.10,3,A ranked list of awesome machine learning Julia libraries.,,8,True,3,
