,name,github_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/lukasmasuch/best-of-ml-python,https://github.com/lukasmasuch/best-of-ml-python,lukasmasuch/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2025-11-13 14:06:42,2025-11-07 05:42:31,627,26.0,2946.0,446.0,343.0,27.0,34.0,22779,2025-11-04 05:45:47,2025.10.30,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,56,24,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/lukasmasuch/best-of-python,https://github.com/lukasmasuch/best-of-python,lukasmasuch/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2025-11-13 13:39:01,2025-11-07 05:43:02,398,25.0,281.0,96.0,221.0,9.0,6.0,4225,2025-11-06 17:57:45,2025.11.06,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,15,18,True,1,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,,CC-BY-SA-4.0,2021-01-05 13:09:27,2025-11-13 16:43:55,2025-11-06 17:56:54,379,22.0,192.0,55.0,223.0,3.0,4.0,2639,2025-11-06 17:57:00,2025.11.06,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,16,18,True,1,
3,best-of-mkdocs,mkdocs/catalog,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,,CC-BY-SA-4.0,2022-04-17 07:48:22,2025-11-13 18:33:19,2025-11-06 18:40:58,419,15.0,111.0,15.0,330.0,2.0,37.0,1582,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,63,17,True,1,
4,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,,CC-BY-SA-4.0,2021-01-08 14:46:24,2025-11-13 14:18:05,2025-11-06 17:57:25,372,24.0,54.0,23.0,212.0,4.0,5.0,1200,2025-11-06 17:57:31,2025.11.06,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,17,True,1,
5,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,,CC-BY-SA-4.0,2021-01-01 22:25:48,2025-11-13 14:46:37,2025-11-06 17:57:09,451,24.0,90.0,24.0,257.0,5.0,4.0,1157,2025-11-06 17:57:17,2025.11.06,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",13,17,True,2,
6,best-of-robot-simulators,knmcguire/best-of-robot-simulators,,robot-dev,https://github.com/knmcguire/best-of-robot-simulators,https://github.com/knmcguire/best-of-robot-simulators,,CC-BY-SA-4.0,2025-04-09 08:06:08,2025-11-12 10:50:24,2025-11-12 10:50:21,173,20.0,64.0,14.0,90.0,13.0,121.0,992,2025-11-12 10:51:14,2025.11.12,32.0,"A Best-of-list of Robot Simulators, re-generated weekly on Wednesdays.",9,17,True,1,1.0
7,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,,CC-BY-SA-4.0,2022-04-21 16:32:43,2025-11-12 18:37:43,2025-11-12 18:37:42,1426,89.0,26.0,6.0,35.0,,2.0,487,,,,Ranked list of awesome digital gardens / second brains.,21,15,True,3,
8,best-of-scala,stkeky/best-of-scala,,programming-languages,https://github.com/stkeky/best-of-scala,https://github.com/stkeky/best-of-scala,,CC-BY-SA-4.0,2023-03-13 21:28:43,2025-11-13 18:32:29,2025-11-10 14:47:07,193,9.0,25.0,10.0,180.0,3.0,9.0,278,2025-11-10 14:47:22,2025.11.06,100.0,A ranked list of awesome Scala projects. Updated weekly.,18,14,True,3,-1.0
9,awesome-gpts,taranjeet/awesome-gpts,['python'],data-engineering,https://github.com/taranjeet/awesome-gpts,https://github.com/taranjeet/awesome-gpts,,MIT,2023-11-10 15:58:26,2024-04-21 19:47:16,2023-12-06 16:57:28,131,,91.0,16.0,49.0,3.0,43.0,1332,,,,Collection of all the GPTs created by the community.,28,13,False,2,
