,name,github_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
13,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,,CC-BY-SA-4.0,2021-02-09 10:37:33,2025-07-01 09:28:49,2025-02-28 09:42:38,206,,15.0,12.0,129.0,57.0,,398,2024-12-02 23:59:31,2024.12.01,31.0,A ranked list of awesome machine learning Rust libraries.,4,12,True,3,
14,best-of-digital-identity,jruizaranguren/best-of-digital-identity,,internet,https://github.com/jruizaranguren/best-of-digital-identity,https://github.com/jruizaranguren/best-of-digital-identity,,CC-BY-SA-4.0,2023-04-12 09:58:39,2025-07-24 18:35:12,2025-07-18 07:39:59,324,24.0,9.0,8.0,138.0,,1.0,140,2025-07-18 07:40:33,2025.07.17,56.0,A ranked list of awesome Digital Identity open source projects.,5,12,True,1,
15,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/lukasmasuch/best-of-react,https://github.com/lukasmasuch/best-of-react,,CC-BY-SA-4.0,2021-02-21 12:52:27,2025-07-18 20:56:03,2025-07-18 20:56:03,374,1.0,111.0,18.0,185.0,2.0,2.0,980,2024-06-06 15:57:19,2024.06.06,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,8,11,True,2,
16,best-of-django,fkromer/best-of-django,['python'],web-dev,https://github.com/fkromer/best-of-django,https://github.com/fkromer/best-of-django,,CC-BY-SA-4.0,2022-10-04 19:22:03,2025-07-07 20:48:02,2025-07-07 20:47:59,384,22.0,12.0,3.0,85.0,,,104,,,,A ranked list of awesome Django related Python packages.,3,11,True,2,
17,best-of-fastapi,fkromer/best-of-fastapi,['python'],web-dev,https://github.com/fkromer/best-of-fastapi,https://github.com/fkromer/best-of-fastapi,,CC-BY-SA-4.0,2022-11-27 14:22:10,2025-07-24 18:12:28,2025-07-17 21:30:45,156,10.0,1.0,3.0,134.0,1.0,,36,,,,List of automatically rated Python packages for FastAPI.,3,10,True,3,
18,best-of-ps,jinningwang/best-of-ps,,others,https://github.com/jinningwang/best-of-ps,https://github.com/jinningwang/best-of-ps,,CC-BY-SA-4.0,2025-05-22 12:32:43,2025-06-24 20:09:36,2025-06-19 18:53:54,536,70.0,,,,,,7,,,,A weekly updated ranked list of popular open-source libraries and tools for Power System Analysis.,7,9,True,3,
19,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,2.0,3.0,38.0,9.0,,24,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2,7,False,3,
20,best-of-rust-on-embedded-linux,fkromer/best-of-rust-on-embedded-linux,,embedded-dev,https://github.com/fkromer/best-of-rust-on-embedded-linux,https://github.com/fkromer/best-of-rust-on-embedded-linux,,CC-BY-SA-4.0,2025-04-22 18:53:52,2025-07-24 18:04:11,2025-07-17 21:30:21,91,67.0,1.0,1.0,20.0,,,4,,,,A ranked list of awesome Rust crates and projects suitable for the embedded Linux/Unix domain.,4,7,True,1,
21,best-of-react-native,fkromer/best-of-react-native,,native-dev,https://github.com/fkromer/best-of-react-native,https://github.com/fkromer/best-of-react-native,,CC-BY-SA-4.0,2023-04-30 19:12:38,2025-05-22 19:33:45,2025-05-22 19:33:45,216,8.0,2.0,2.0,100.0,,,9,,,,List of automatically rated React Native projects.,2,6,True,1,-2.0
22,best-of-vue,fkromer/best-of-vue,['javascript'],web-dev,https://github.com/fkromer/best-of-vue,https://github.com/fkromer/best-of-vue,,CC-BY-SA-4.0,2022-12-03 16:39:34,2025-05-22 19:34:26,2025-05-22 19:34:26,175,4.0,,2.0,136.0,,,6,,,,List of automatically rated Vue projects.,2,6,True,3,
