,name,github_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/lukasmasuch/best-of-ml-python,https://github.com/lukasmasuch/best-of-ml-python,lukasmasuch/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2025-07-24 16:15:46,2025-07-24 16:15:45,595,26.0,2818.0,440.0,324.0,27.0,34.0,21614,2025-07-24 16:15:51,2025.07.24,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,54,23,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/lukasmasuch/best-of-python,https://github.com/lukasmasuch/best-of-python,lukasmasuch/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2025-07-24 15:09:01,2025-07-24 15:09:01,366,5.0,273.0,97.0,203.0,7.0,6.0,4054,2025-07-24 15:26:29,2025.07.24,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,13,17,True,1,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,,CC-BY-SA-4.0,2021-01-05 13:09:27,2025-07-24 17:17:04,2025-07-24 17:17:02,351,5.0,184.0,57.0,207.0,,3.0,2552,2025-07-24 17:17:08,2025.07.24,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,16,17,True,1,
3,best-of-mkdocs,mkdocs/catalog,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,,CC-BY-SA-4.0,2022-04-17 07:48:22,2025-07-24 18:35:30,2025-07-17 19:06:14,398,19.0,92.0,16.0,305.0,4.0,31.0,1429,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,58,17,True,1,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,,CC-BY-SA-4.0,2021-01-01 22:25:48,2025-07-24 15:07:52,2025-07-24 15:07:50,421,24.0,84.0,23.0,241.0,2.0,4.0,1108,2025-07-24 15:08:09,2025.07.24,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",13,17,True,2,
5,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,,CC-BY-SA-4.0,2021-01-08 14:46:24,2025-07-24 15:05:04,2025-07-24 15:05:02,342,5.0,52.0,23.0,197.0,5.0,5.0,1149,2025-07-24 15:05:09,2025.07.24,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,16,True,1,
6,best-of-robot-simulators,knmcguire/best-of-robot-simulators,,robot-dev,https://github.com/knmcguire/best-of-robot-simulators,https://github.com/knmcguire/best-of-robot-simulators,,CC-BY-SA-4.0,2025-04-09 08:06:08,2025-07-23 16:31:49,2025-07-23 16:31:38,150,39.0,47.0,11.0,67.0,34.0,88.0,837,2025-07-23 16:32:12,2025.07.23,16.0,"A Best-of-list of Robot Simulators, re-generated weekly on Wednesdays.",8,15,True,1,-1.0
7,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,,CC-BY-SA-4.0,2022-04-21 16:32:43,2025-07-24 18:41:43,2025-07-24 18:41:42,1315,94.0,26.0,6.0,35.0,,2.0,446,,,,Ranked list of awesome digital gardens / second brains.,21,15,True,3,
8,best-of-scala,stkeky/best-of-scala,,programming-languages,https://github.com/stkeky/best-of-scala,https://github.com/stkeky/best-of-scala,,CC-BY-SA-4.0,2023-03-13 21:28:43,2025-07-24 18:34:57,2025-07-17 21:09:46,181,11.0,25.0,11.0,164.0,3.0,9.0,278,2025-07-17 21:10:01,2025.07.17,97.0,A ranked list of awesome Scala projects. Updated weekly.,18,15,True,3,
9,awesome-gpts,taranjeet/awesome-gpts,['python'],data-engineering,https://github.com/taranjeet/awesome-gpts,https://github.com/taranjeet/awesome-gpts,,MIT,2023-11-10 15:58:26,2024-04-21 19:47:16,2023-12-06 16:57:28,131,,89.0,17.0,48.0,3.0,43.0,1315,,,,Collection of all the GPTs created by the community.,28,13,False,2,
10,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/lukasmasuch/best-of-crypto,https://github.com/lukasmasuch/best-of-crypto,,CC-BY-SA-4.0,2022-01-08 21:25:33,2024-07-12 09:36:46,2024-06-05 20:02:12,282,,79.0,23.0,141.0,11.0,,460,2024-06-05 20:02:18,2024.06.05,100.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5,13,False,1,
11,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,,CC-BY-SA-4.0,2022-01-23 23:37:02,2025-07-23 20:55:10,2025-07-18 20:24:32,1187,84.0,4.0,6.0,1284.0,2.0,,70,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",5,13,True,1,
12,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,,CC-BY-SA-4.0,2021-01-09 00:40:46,2024-06-28 01:43:05,2021-05-03 18:03:14,111,,148.0,20.0,128.0,110.0,4.0,1293,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,
