,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2021-04-22 17:58:42,2021-04-22 17:58:41,584.0,3.0,12.0,4717.0,2021-04-22 17:22:51,2021.04.22,22.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,18.0,14,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2021-04-22 18:00:04,2021-04-22 18:00:04,115.0,,3.0,1568.0,2021-04-22 17:25:47,2021.04.22,14.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,5.0,13,True,1,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2021-04-22 18:00:23,2021-04-22 18:00:23,75.0,,2.0,1163.0,2021-04-22 17:23:07,2021.04.22,14.0,A ranked list of awesome python libraries for web development. Updated weekly.,6.0,13,True,1,
3,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2021-04-22 17:26:20,2021-04-22 17:26:19,27.0,,2.0,242.0,2021-04-22 17:26:05,2021.04.22,18.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",6.0,12,True,2,
4,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2021-04-19 12:04:54,2021-02-23 01:28:44,15.0,,4.0,150.0,2021-02-23 01:04:31,2021.02.22,7.0,A ranked gallery of awesome streamlit apps built by the community.,3.0,11,True,3,1.0
5,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2021-04-22 17:24:57,2021-04-22 17:24:56,13.0,,5.0,264.0,2021-04-08 15:00:37,2021.04.08,11.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,1.0,10,True,1,
6,best-of-ml-rust,e-tony/best-of-ml-rust,,data-engineering,https://github.com/e-tony/best-of-ml-rust,https://github.com/e-tony/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2021-04-19 13:09:07,2021-04-19 13:09:07,1.0,,,51.0,2021-04-19 13:09:34,2021.04.19,13.0,A ranked list of awesome machine learning Rust libraries. Updated weekly.,1.0,8,True,3,2.0
7,best-of-react,LukasMasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2021-04-22 18:18:41,2021-04-15 20:20:07,,,,2.0,2021-04-15 20:20:17,2021.04.15,7.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,,7,True,3,
8,best-of-ml-julia,e-tony/best-of-ml-julia,,data-engineering,https://github.com/e-tony/best-of-ml-julia,https://github.com/e-tony/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-04-19 13:11:05,2021-04-19 13:11:05,,,,,,,,A ranked list of awesome machine learning Julia libraries. Updated weekly.,,5,True,3,
