,name,github_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/lukasmasuch/best-of-ml-python,https://github.com/lukasmasuch/best-of-ml-python,lukasmasuch/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2026-05-07 14:59:48,2026-03-22 08:44:47,628,1.0,3024.0,440.0,355.0,32.0,34.0,23459,2025-11-04 05:45:47,2025.10.30,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,57,21,True,1,-1.0
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/lukasmasuch/best-of-python,https://github.com/lukasmasuch/best-of-python,lukasmasuch/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2026-05-07 14:13:30,2026-04-23 14:19:44,444,22.0,316.0,99.0,264.0,11.0,6.0,4459,2026-04-23 14:19:51,2026.04.23,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,18,18,True,1,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,,CC-BY-SA-4.0,2021-01-05 13:09:27,2026-05-07 18:39:44,2026-05-01 07:51:08,423,22.0,197.0,55.0,249.0,3.0,4.0,2716,2026-05-01 07:51:12,2026.04.30,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,17,18,True,1,
3,best-of-robot-simulators,knmcguire/best-of-robot-simulators,,robot-dev,https://github.com/knmcguire/best-of-robot-simulators,https://github.com/knmcguire/best-of-robot-simulators,,CC-BY-SA-4.0,2025-04-09 08:06:08,2026-05-07 16:21:49,2026-05-07 16:21:49,202,15.0,92.0,17.0,119.0,16.0,122.0,1308,2026-04-30 12:14:27,2026.04.29,56.0,"A Best-of-list of Robot Simulators, re-generated weekly on Wednesdays.",13,17,True,1,
4,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,,CC-BY-SA-4.0,2021-01-08 14:46:24,2026-05-07 16:43:21,2026-05-01 07:51:20,413,17.0,69.0,24.0,242.0,7.0,5.0,1257,2026-05-01 07:51:24,2026.04.30,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,8,17,True,1,
5,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,,CC-BY-SA-4.0,2021-01-01 22:25:48,2026-05-07 16:40:28,2026-05-01 07:51:29,490,20.0,90.0,23.0,282.0,5.0,4.0,1203,2026-05-01 07:51:34,2026.04.30,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",14,17,True,2,
6,best-of-mkdocs,mkdocs/catalog,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,,CC-BY-SA-4.0,2022-04-17 07:48:22,2026-05-07 19:41:40,2025-11-06 18:40:58,419,,119.0,18.0,367.0,26.0,37.0,1737,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,63,16,True,1,
7,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,,CC-BY-SA-4.0,2022-04-21 16:32:43,2026-05-06 19:58:15,2026-05-06 19:58:14,1609,98.0,29.0,10.0,38.0,,2.0,535,,,,Ranked list of awesome digital gardens / second brains.,24,15,True,3,
8,best-of-scala,stkeky/best-of-scala,,programming-languages,https://github.com/stkeky/best-of-scala,https://github.com/stkeky/best-of-scala,,CC-BY-SA-4.0,2023-03-13 21:28:43,2026-05-07 19:45:57,2026-05-05 08:38:09,216,11.0,26.0,10.0,205.0,3.0,9.0,289,2026-05-05 08:38:30,2026.04.30,100.0,A ranked list of awesome Scala projects. Updated weekly.,18,15,True,3,
9,best-of-mcp-servers,tolkonepiu/best-of-mcp-servers,,data-engineering,https://github.com/tolkonepiu/best-of-mcp-servers,https://github.com/tolkonepiu/best-of-mcp-servers,,CC-BY-SA-4.0,2025-08-01 20:32:12,2026-05-06 02:25:22,2026-05-06 02:25:20,156,43.0,63.0,,134.0,22.0,8.0,72,2026-05-06 02:25:35,2026.05.06,39.0,A ranked list of MCP servers. Updated weekly.,7,15,True,2,
10,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,,CC-BY-SA-4.0,2021-01-09 00:40:46,2024-06-28 01:43:05,2021-05-03 18:03:14,111,,162.0,20.0,128.0,110.0,4.0,1384,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,13,False,3,
11,awesome-gpts,taranjeet/awesome-gpts,['python'],data-engineering,https://github.com/taranjeet/awesome-gpts,https://github.com/taranjeet/awesome-gpts,,MIT,2023-11-10 15:58:26,2024-04-21 19:47:16,2023-12-06 16:57:28,131,,96.0,15.0,49.0,4.0,43.0,1355,,,,Collection of all the GPTs created by the community.,28,13,False,3,
12,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/lukasmasuch/best-of-crypto,https://github.com/lukasmasuch/best-of-crypto,,CC-BY-SA-4.0,2022-01-08 21:25:33,2024-07-12 09:36:46,2024-06-05 20:02:12,282,,113.0,24.0,150.0,13.0,,541,2024-06-05 20:02:18,2024.06.05,100.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5,13,False,1,
