,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,open_issue_count,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2021-08-26 15:32:32,2021-08-26 12:27:02,718.0,19.0,5594,2021-08-26 12:27:16,2021.08.19,30,A ranked list of awesome machine learning Python libraries. Updated weekly.,19.0,15,5.0,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2021-08-26 15:01:16,2021-07-16 21:43:31,134.0,4.0,1726,2021-07-16 21:43:43,2021.07.15,22,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,5.0,14,1.0,True,1,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2021-08-26 15:33:14,2021-07-16 21:43:54,86.0,2.0,1310,2021-07-16 21:44:03,2021.07.15,21,A ranked list of awesome python libraries for web development. Updated weekly.,6.0,14,1.0,True,1,
3,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2021-08-26 14:48:11,2021-07-16 21:44:49,36.0,2.0,319,2021-07-16 21:44:58,2021.07.15,25,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",7.0,13,,True,2,
4,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2021-08-16 12:16:27,2021-05-03 18:03:14,26.0,4.0,268,2021-05-03 17:59:01,2021.05.03-17.47,8,A ranked gallery of awesome streamlit apps built by the community.,4.0,13,14.0,True,2,1.0
5,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2021-08-26 14:57:26,2021-07-16 21:44:30,17.0,5.0,324,2021-07-16 21:44:38,2021.07.15,18,A ranked list of awesome python developer tools and libraries. Updated weekly.,2.0,11,1.0,True,1,
6,best-of-ml-rust,e-tony/best-of-ml-rust,,data-engineering,https://github.com/e-tony/best-of-ml-rust,https://github.com/e-tony/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2021-08-16 20:21:08,2021-08-16 20:21:08,1.0,,64,2021-08-16 20:21:38,2021.08.16,22,A ranked list of awesome machine learning Rust libraries.,1.0,9,,True,3,1.0
7,best-of-react,LukasMasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2021-08-26 18:22:41,2021-08-03 18:34:28,,,9,2021-08-03 18:34:50,2021.07.29,15,A ranked list of awesome React open-source libraries and tools. Updated weekly.,,9,,True,3,1.0
8,best-of-ml-julia,e-tony/best-of-ml-julia,,data-engineering,https://github.com/e-tony/best-of-ml-julia,https://github.com/e-tony/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-08-16 12:32:16,2021-07-12 15:04:48,,,3,2021-05-10 14:35:56,2021.05.10,3,A ranked list of awesome machine learning Julia libraries.,,9,,True,3,1.0
