,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,new_addition
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2021-01-11 19:00:54,2021-01-11 19:00:46,13.0,4.0,97,2021-01-08 03:42:51,2021.01.08,9,A ranked list of awesome machine learning Python libraries. Updated weekly.,3.0,10,True,1,2.0,
1,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2021-01-08 02:21:27,2021-01-08 02:21:25,,,13,2021-01-08 02:21:37,2021.01.08,4,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",,8,True,3,1.0,
2,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2021-01-10 23:11:02,2021-01-10 23:10:57,,,15,2021-01-09 00:47:45,2021.01.09,1,A ranked gallery of awesome streamlit apps built by the community.,,7,True,3,,True
3,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2021-01-08 21:13:43,2021-01-08 21:13:36,,,2,2021-01-08 01:07:00,2021.01.08,2,A ranked list of awesome python libraries for web development. Updated weekly.,,7,True,1,,True
4,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2021-01-12 04:27:50,2021-01-12 04:27:47,,,1,2021-01-12 04:27:56,2021.01.12,1,A ranked list of awesome Python open-source libraries & tools. Updated weekly.,,6,True,1,,True
5,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2021-01-09 12:14:15,2021-01-09 12:14:13,,,1,2021-01-09 12:14:23,2021.01.09,1,A ranked list of awesome python developer tools and libraries. Updated weekly.,,6,True,1,,True
