,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,open_issue_count,show,projectrank_placing,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2021-07-01 15:41:20,2021-06-29 14:46:55,697.0,18.0,5394,2021-06-28 20:34:26,2021.06.24,26,A ranked list of awesome machine learning Python libraries. Updated weekly.,19.0,15,5.0,True,1,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2021-07-01 15:08:31,2021-06-29 14:46:42,134.0,4.0,1667,2021-06-28 20:36:01,2021.05.27,19,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,5.0,14,1.0,True,1,1.0
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2021-07-01 15:38:34,2021-06-29 14:49:52,84.0,2.0,1270,2021-06-28 20:36:48,2021.06.24,18,A ranked list of awesome python libraries for web development. Updated weekly.,6.0,14,,True,1,1.0
3,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2021-07-01 14:48:09,2021-06-29 00:24:38,35.0,2.0,293,2021-06-28 20:39:34,2021.06.24,22,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",7.0,13,,True,2,1.0
4,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2021-06-28 12:09:18,2021-05-03 18:03:14,19.0,4.0,217,2021-05-03 17:59:01,2021.05.03-17.47,8,A ranked gallery of awesome streamlit apps built by the community.,4.0,12,2.0,True,3,1.0
5,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2021-07-01 14:57:23,2021-06-29 13:26:42,17.0,5.0,299,2021-06-28 20:38:04,2021.06.24,15,A ranked list of awesome python developer tools and libraries. Updated weekly.,2.0,11,1.0,True,1,1.0
6,best-of-ml-rust,e-tony/best-of-ml-rust,,data-engineering,https://github.com/e-tony/best-of-ml-rust,https://github.com/e-tony/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2021-06-28 12:18:28,2021-06-21 15:00:06,1.0,,63,2021-06-21 15:00:18,2021.06.21,19,A ranked list of awesome machine learning Rust libraries.,1.0,8,,True,3,
7,best-of-react,LukasMasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2021-07-01 18:19:23,2021-06-28 20:44:08,,,6,2021-06-28 20:44:30,2021.06.24,11,A ranked list of awesome React open-source libraries and tools. Updated weekly.,,8,,True,3,
8,best-of-ml-julia,e-tony/best-of-ml-julia,,data-engineering,https://github.com/e-tony/best-of-ml-julia,https://github.com/e-tony/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-06-28 12:15:31,2021-06-14 16:22:27,,,3,2021-05-10 14:35:56,2021.05.10,3,A ranked list of awesome machine learning Julia libraries.,,8,,True,3,
