,name,github_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
14,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,,CC-BY-SA-4.0,2022-01-23 23:37:02,2025-10-08 20:28:29,2025-09-30 20:28:03,1261,81.0,4.0,5.0,1361.0,1.0,,74,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",5,13,True,1,
15,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/lukasmasuch/best-of-react,https://github.com/lukasmasuch/best-of-react,,CC-BY-SA-4.0,2021-02-21 12:52:27,2025-08-28 08:50:49,2025-08-28 08:50:49,375,2.0,113.0,17.0,187.0,2.0,2.0,1005,2024-06-06 15:57:19,2024.06.06,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,9,11,True,2,
16,best-of-mcp-servers,tolkonepiu/best-of-mcp-servers,,data-engineering,https://github.com/tolkonepiu/best-of-mcp-servers,https://github.com/tolkonepiu/best-of-mcp-servers,,CC-BY-SA-4.0,2025-08-01 20:32:12,2025-10-06 06:00:38,2025-10-06 06:00:37,58,58.0,1.0,,24.0,,,5,2025-09-29 07:56:41,2025.09.29,9.0,A ranked list of MCP servers. Updated weekly.,3,10,True,3,
17,best-of-django,fkromer/best-of-django,['python'],web-dev,https://github.com/fkromer/best-of-django,https://github.com/fkromer/best-of-django,,CC-BY-SA-4.0,2022-10-04 19:22:03,2025-10-01 08:35:43,2025-10-01 08:35:41,390,6.0,13.0,2.0,88.0,,,118,,,,A ranked list of awesome Django related Python packages.,3,9,True,3,-1.0
18,best-of-fastapi,fkromer/best-of-fastapi,['python'],web-dev,https://github.com/fkromer/best-of-fastapi,https://github.com/fkromer/best-of-fastapi,,CC-BY-SA-4.0,2022-11-27 14:22:10,2025-10-09 18:10:10,2025-10-03 07:37:27,167,12.0,1.0,2.0,145.0,,,39,,,,List of automatically rated Python packages for FastAPI.,3,9,True,3,-1.0
19,best-of-nix,tolkonepiu/best-of-nix,,programming-languages,https://github.com/tolkonepiu/best-of-nix,https://github.com/tolkonepiu/best-of-nix,,CC-BY-SA-4.0,2025-05-11 01:41:28,2025-10-06 05:58:16,2025-10-06 05:58:14,83,47.0,,2.0,41.0,,,3,2025-10-06 05:58:32,2025.10.06,25.0,A ranked list of the best resources in the Nix community. Updated weekly.,3,9,True,3,1.0
20,best-of-ps,jinningwang/best-of-ps,,others,https://github.com/jinningwang/best-of-ps,https://github.com/jinningwang/best-of-ps,,CC-BY-SA-4.0,2025-05-22 12:32:43,2025-09-03 03:20:33,2025-08-28 20:33:03,567,25.0,,,,,,11,,,,A weekly updated ranked list of popular open-source libraries and tools for Power System Analysis.,7,8,True,3,
21,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,2.0,3.0,38.0,9.0,,24,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2,7,False,3,
22,best-of-rust-on-embedded-linux,fkromer/best-of-rust-on-embedded-linux,,embedded-dev,https://github.com/fkromer/best-of-rust-on-embedded-linux,https://github.com/fkromer/best-of-rust-on-embedded-linux,,CC-BY-SA-4.0,2025-04-22 18:53:52,2025-10-09 18:04:16,2025-10-03 07:36:03,115,26.0,1.0,1.0,32.0,,,6,,,,A ranked list of awesome Rust crates and projects suitable for the embedded Linux/Unix domain.,4,7,True,1,1.0
23,best-of-react-native,fkromer/best-of-react-native,,native-dev,https://github.com/fkromer/best-of-react-native,https://github.com/fkromer/best-of-react-native,,CC-BY-SA-4.0,2023-04-30 19:12:38,2025-05-22 19:33:45,2025-05-22 19:33:45,216,,2.0,1.0,100.0,,,8,,,,List of automatically rated React Native projects.,2,5,True,1,
24,best-of-vue,fkromer/best-of-vue,['javascript'],web-dev,https://github.com/fkromer/best-of-vue,https://github.com/fkromer/best-of-vue,,CC-BY-SA-4.0,2022-12-03 16:39:34,2025-05-22 19:34:26,2025-05-22 19:34:26,175,,,1.0,136.0,,,6,,,,List of automatically rated Vue projects.,2,5,True,3,
