,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2021-06-10 14:06:09,2021-06-05 15:52:33,674.0,4.0,13.0,5300,2021-06-05 15:52:41,2021.06.03,25,A ranked list of awesome machine learning Python libraries. Updated weekly.,19.0,15,True,1
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2021-06-10 14:53:25,2021-06-05 15:47:47,130.0,2.0,3.0,1652,2021-06-05 15:48:03,2021.06.03,17,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,5.0,13,True,1
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2021-06-10 15:06:57,2021-06-05 15:46:18,80.0,,2.0,1240,2021-06-05 15:46:28,2021.06.03,17,A ranked list of awesome python libraries for web development. Updated weekly.,6.0,13,True,1
3,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2021-06-10 14:35:51,2021-06-05 15:48:21,35.0,1.0,2.0,282,2021-06-05 15:48:38,2021.06.03,21,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",7.0,12,True,2
4,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2021-06-07 12:42:03,2021-05-03 18:03:14,17.0,1.0,4.0,207,2021-05-03 17:59:01,2021.05.03-17.47,8,A ranked gallery of awesome streamlit apps built by the community.,4.0,11,True,3
5,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2021-06-10 14:45:29,2021-06-05 15:47:16,15.0,,5.0,287,2021-06-05 15:47:27,2021.06.03,14,A ranked list of awesome python developer tools and libraries. Updated weekly.,1.0,10,True,1
6,best-of-ml-rust,e-tony/best-of-ml-rust,,data-engineering,https://github.com/e-tony/best-of-ml-rust,https://github.com/e-tony/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2021-06-07 13:10:07,2021-05-25 13:06:54,1.0,,,61,2021-05-17 12:37:39,2021.05.17,17,A ranked list of awesome machine learning Rust libraries.,1.0,8,True,3
7,best-of-react,LukasMasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2021-06-10 18:35:12,2021-06-05 15:50:29,,,,5,2021-06-05 15:50:36,2021.06.03,10,A ranked list of awesome React open-source libraries and tools. Updated weekly.,,8,True,3
8,best-of-ml-julia,e-tony/best-of-ml-julia,,data-engineering,https://github.com/e-tony/best-of-ml-julia,https://github.com/e-tony/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-06-07 13:01:11,2021-05-25 13:07:05,,,,1,2021-05-10 14:35:56,2021.05.10,3,A ranked list of awesome machine learning Julia libraries.,,7,True,3
